attribute	owl_class_uri	owl_class_label
subject/id	http://semanticscience.org/resource/SIO_000729	record identifier
subject/subject_identifier	http://purl.obolibrary.org/obo/GENEPIO_0001616	subject identifier
subject/birthdate	http://www.ebi.ac.uk/efo/EFO_0004950	date of birth
sample/id	http://semanticscience.org/resource/SIO_000729	record identifier
sample/name	http://purl.obolibrary.org/obo/OBI_0001616	specimen identifier
sample/isolation_source	http://purl.obolibrary.org/obo/GENEPIO_0000027	specimen source context
sample/subject_id	http://semanticscience.org/resource/SIO_000729	record identifier
sample/collection_date	http://purl.obolibrary.org/obo/GENEPIO_0002154	specimen extraction date (ISO 8601)
library/id	http://semanticscience.org/resource/SIO_000729	record identifier
library/name	http://purl.obolibrary.org/obo/GENEPIO_0001995	library name
library/sample_id	http://semanticscience.org/resource/SIO_000729	record identifier
library/creation_date	http://purl.obolibrary.org/obo/GENEPIO_0001882	created date
library/type	http://purl.obolibrary.org/obo/GENEPIO_0000085	library preparation kit
analysis/id	http://semanticscience.org/resource/SIO_000729	record identifier
analysis/type	http://edamontology.org/operation_2945	Analysis
analysis_library/id	http://semanticscience.org/resource/SIO_000729	record identifier
analysis_library/analysis_id	http://semanticscience.org/resource/SIO_000729	record identifier
analysis_library/library_id	http://semanticscience.org/resource/SIO_000729	record identifier
analysis_input_file/id	http://semanticscience.org/resource/SIO_000729	record identifier
analysis_input_file/analysis_id	http://semanticscience.org/resource/SIO_000729	record identifier
analysis_input_file/path	 http://purl.obolibrary.org/obo/NCIT_C47922	Pathname
analysis_input_file/filename	http://purl.obolibrary.org/obo/GENEPIO_0000148	isolate raw read filename
analysis_input_file/filetype	http://edamontology.org/format_1915	Format
analysis_input_file/file_format_name	http://edamontology.org/data_2129	File format name
analysis_input_parameter/id	http://semanticscience.org/resource/SIO_000729	record identifier
analysis_input_parameter/analysis_id	http://semanticscience.org/resource/SIO_000729	record identifier
analysis_input_parameter/parameter_name	http://semanticscience.org/resource/SIO_000144	parameter
analysis_input_parameter/parameter_flag	 http://semanticscience.org/resource/SIO_000602	computational entity
analysis_input_parameter/parameter_value	 http://semanticscience.org/resource/SIO_000602	computational entity
analysis_output_datum/id	http://semanticscience.org/resource/SIO_000729	record identifier
analysis_output_datum/analysis_id	http://semanticscience.org/resource/SIO_000729	record identifier
analysis_output_datum/datum_type	http://purl.obolibrary.org/obo/NCIT_C42645	Data Type
analysis_output_datum/datum_value	http://purl.obolibrary.org/obo/NCIT_C49100	Data Value
